Generation,AverageFitness
783,0.3525
784,0.575
785,0.77
786,0.2725
787,0.2375
788,0.6575
789,0.0475
790,0.315
791,0.48500000000000004
792,0.8375
793,0.43499999999999994
794,0.41500000000000004
795,0.47000000000000003
796,0.7224999999999999
797,0.23000000000000004
798,0.5
799,0.2125
800,0.42750000000000005
801,0.74
802,0.7825
803,0.0225
804,0.5625
805,0.6425
806,0.9925
807,1.1
808,0.3525
809,0.82
810,1.545
811,1.7475
812,0.8875
813,1.0850000000000002
814,1.2075
815,0.355
816,0.6325000000000001
817,1.1975
818,0.22999999999999998
819,0.31
820,0.8675
821,0.53
822,0.1975
823,0.27749999999999997
824,0.93
825,0.3775
826,0.38249999999999995
827,0.665
828,0.5900000000000001
829,0.8525
830,0.11499999999999999
831,0.2475
832,0.6599999999999999
833,0.5850000000000001
834,0.5449999999999999
835,0.5800000000000001
836,0.9724999999999999
837,1.08
838,0.7424999999999999
839,1.085
840,1.3075
841,1.0
842,0.8425
843,0.24
844,0.8550000000000001
845,0.325
846,0.6875
847,0.43
848,0.7074999999999999
849,0.85
850,0.1875
851,0.5475
852,0.40499999999999997
853,1.0275
854,0.3625
855,0.745
856,0.11750000000000001
857,0.85
858,0.3125
859,0.6825
860,0.67
861,0.39
862,0.6825
863,0.42000000000000004
864,0.4425
865,0.605
866,0.6925
867,0.805
868,0.75
869,0.655
870,1.245
871,0.40750000000000003
872,0.9525
873,0.465
874,0.52
875,0.8675
876,0.2375
877,0.3175
878,0.24
879,0.8574999999999999
880,0.305
881,0.875
882,0.1825
883,0.7725
884,0.0
885,1.4849999999999999
886,0.5549999999999999
887,0.515
888,0.36750000000000005
889,1.1825
890,0.52
891,0.8949999999999999
892,0.1875
893,0.515
894,0.28
895,0.4925
896,0.5125
897,0.6275
